iter	Passed	Remaining
584	11191	27069
585	11213	27056
586	11233	27041
587	11254	27025
588	11274	27009
589	11295	26993
590	11315	26977
591	11333	26954
592	11351	26934
593	11371	26915
594	11391	26899
595	11412	26884
596	11433	26869
597	11455	26858
598	11476	26843
599	11497	26827
600	11517	26811
601	11538	26794
602	11559	26779
603	11580	26765
604	11600	26749
605	11622	26734
606	11640	26714
607	11658	26691
608	11678	26673
609	11698	26656
610	11717	26638
611	11737	26620
612	11758	26605
613	11778	26587
614	11797	26568
615	11815	26547
616	11836	26531
617	11856	26514
618	11875	26494
619	11896	26479
620	11914	26457
621	11933	26438
622	11952	26419
623	11971	26398
624	11992	26384
625	12012	26366
626	12032	26347
627	12051	26329
628	12072	26313
629	12094	26300
630	12114	26283
631	12133	26264
632	12154	26249
633	12173	26228
634	12191	26207
635	12211	26188
636	12227	26162
637	12247	26146
638	12267	26127
639	12285	26107
640	12306	26090
641	12329	26080
642	12350	26064
643	12370	26046
644	12390	26029
645	12409	26010
646	12430	25993
647	12451	25979
648	12472	25963
649	12492	25946
650	12513	25930
651	12533	25912
652	12553	25895
653	12573	25877
654	12593	25859
655	12614	25843
656	12635	25829
657	12654	25809
658	12676	25795
659	12695	25776
660	12715	25758
661	12736	25742
662	12757	25727
663	12777	25708
664	12797	25691
665	12816	25672
666	12836	25652
667	12856	25635
668	12875	25616
669	12895	25599
670	12915	25581
671	12935	25562
672	12955	25545
673	12976	25528
674	12995	25509
675	13017	25495
676	13035	25474
677	13054	25454
678	13073	25433
679	13091	25412
680	13110	25392
681	13129	25372
682	13144	25346
683	13165	25329
684	13184	25311
685	13205	25294
686	13224	25275
687	13245	25258
688	13265	25241
689	13286	25224
690	13306	25206
691	13326	25189
692	13346	25170
693	13367	25155
694	13383	25130
695	13404	25113
696	13420	25089
697	13440	25070
698	13460	25052
699	13476	25027
700	13494	25006
701	13515	24989
702	13532	24967
703	13552	24948
704	13573	24932
705	13592	24912
706	13612	24896
707	13632	24876
708	13653	24861
709	13673	24842
710	13693	24824
711	13713	24807
712	13731	24785
713	13752	24769
714	13774	24755
715	13795	24738
716	13815	24721
717	13836	24704
718	13854	24684
719	13874	24666
720	13894	24647
721	13914	24630
722	13935	24613
723	13951	24588
724	13972	24572
725	13993	24555
726	14013	24537
727	14029	24512
728	14045	24487
729	14063	24466
730	14083	24449
731	14104	24431
732	14124	24415
733	14145	24398
734	14165	24380
735	14184	24361
736	14204	24341
737	14225	24325
738	14245	24308
739	14265	24290
740	14284	24270
741	14302	24248
742	14318	24223
743	14337	24203
744	14353	24179
745	14368	24153
746	14389	24136
747	14409	24118
748	14429	24100
749	14449	24082
750	14469	24064
751	14489	24046
752	14510	24030
753	14531	24013
754	14551	23996
755	14571	23977
756	14593	23962
757	14613	23944
758	14632	23925
759	14652	23906
760	14672	23888
761	14692	23870
762	14712	23852
763	14733	23835
764	14752	23815
765	14772	23797
766	14792	23779
767	14812	23762
768	14834	23746
769	14849	23720
770	14864	23695
771	14885	23677
772	14904	23658
773	14924	23639
774	14945	23622
775	14964	23603
776	14984	23585
777	15003	23566
778	15023	23548
779	15040	23524
780	15056	23500
781	15072	23475
782	15092	23458
783	15112	23440
784	15134	23424
785	15150	23400
786	15169	23379
787	15188	23361
788	15206	23340
789	15226	23321
790	15247	23304
791	15267	23286
792	15287	23268
793	15307	23250
794	15328	23233
795	15347	23214
796	15367	23196
797	15387	23178
798	15408	23160
799	15427	23140
800	15447	23122
801	15469	23107
802	15486	23085
803	15506	23066
804	15528	23051
805	15549	23035
806	15570	23018
807	15591	23001
808	15611	22983
809	15630	22963
810	15645	22938
811	15665	22920
812	15685	22901
813	15704	22881
814	15722	22860
815	15741	22840
816	15760	22820
817	15780	22802
818	15799	22783
819	15816	22760
820	15835	22741
821	15855	22722
822	15874	22703
823	15894	22685
824	15918	22671
825	15937	22652
826	15957	22633
827	15978	22617
828	15997	22597
829	16015	22576
830	16031	22552
831	16051	22533
832	16070	22514
833	16091	22497
834	16111	22479
835	16131	22460
836	16147	22436
837	16166	22416
838	16182	22392
839	16198	22369
840	16213	22344
841	16233	22326
842	16253	22307
843	16272	22287
844	16288	22264
845	16309	22246
846	16328	22227
847	16348	22208
848	16368	22190
849	16388	22172
850	16409	22155
851	16430	22138
852	16451	22121
853	16471	22103
854	16493	22087
855	16515	22071
856	16535	22053
857	16555	22035
858	16576	22018
859	16597	22001
860	16618	21984
861	16638	21965
862	16658	21947
863	16679	21930
864	16695	21906
865	16714	21887
866	16730	21863
867	16747	21841
868	16762	21816
869	16782	21798
870	16801	21777
871	16819	21757
872	16840	21740
873	16861	21723
874	16881	21704
875	16901	21685
876	16920	21667
877	16940	21648
878	16961	21631
879	16982	21613
880	17001	21594
881	17023	21578
882	17043	21560
883	17064	21542
884	17080	21519
885	17096	21496
886	17112	21472
887	17132	21453
888	17152	21436
889	17170	21415
890	17192	21398
891	17213	21381
892	17233	21362
893	17248	21339
894	17269	21321
895	17290	21303
896	17309	21284
897	17330	21267
898	17348	21247
899	17374	21235
900	17394	21217
901	17415	21199
902	17435	21180
903	17453	21160
904	17473	21142
905	17491	21120
906	17507	21097
907	17526	21078
908	17546	21060
909	17565	21040
910	17585	21021
911	17606	21003
912	17623	20981
913	17640	20960
914	17661	20943
915	17680	20923
916	17700	20904
917	17719	20885
918	17739	20866
919	17758	20846
920	17777	20827
921	17797	20808
922	17816	20789
923	17836	20771
924	17854	20750
925	17875	20732
926	17894	20713
927	17913	20692
928	17933	20674
929	17952	20655
930	17972	20636
931	17991	20616
932	18010	20597
933	18029	20578
934	18050	20560
935	18070	20542
936	18091	20523
937	18108	20501
938	18126	20481
939	18146	20462
940	18166	20444
941	18187	20427
942	18208	20409
943	18226	20389
944	18247	20371
945	18268	20354
946	18286	20333
947	18302	20310
948	18322	20291
949	18341	20271
950	18357	20248
951	18376	20229
952	18393	20207
953	18408	20184
954	18431	20168
955	18452	20150
956	18472	20132
957	18491	20112
958	18512	20095
959	18532	20077
960	18552	20057
961	18571	20038
962	18591	20019
963	18608	19997
964	18626	19977
965	18645	19957
966	18665	19939
967	18685	19920
968	18705	19902
969	18725	19883
970	18746	19865
971	18765	19846
972	18784	19827
973	18803	19806
974	18823	19788
975	18842	19769
976	18862	19750
977	18882	19731
978	18902	19712
979	18919	19691
980	18938	19672
981	18958	19653
982	18978	19634
983	18998	19615
984	19017	19597
985	19036	19577
986	19057	19559
987	19077	19540
988	19096	19521
989	19116	19502
990	19135	19483
991	19153	19462
992	19172	19443
993	19192	19424
994	19211	19404
995	19232	19386
996	19250	19366
997	19269	19346
998	19289	19327
999	19309	19309
1000	19329	19290
1001	19353	19276
1002	19374	19258
1003	19395	19241
1004	19416	19223
1005	19436	19204
1006	19452	19182
1007	19475	19165
1008	19491	19143
1009	19506	19119
1010	19523	19098
1011	19538	19075
1012	19559	19057
1013	19580	19039
1014	19599	19020
1015	19615	18997
1016	19635	18979
1017	19652	18957
1018	19667	18933
1019	19688	18915
1020	19707	18897
1021	19727	18878
1022	19748	18860
1023	19769	18842
1024	19787	18822
1025	19807	18803
1026	19827	18785
1027	19847	18766
1028	19864	18744
1029	19881	18723
1030	19900	18703
1031	19920	18685
1032	19940	18666
1033	19959	18646
1034	19979	18628
1035	20000	18610
1036	20019	18590
1037	20038	18571
1038	20058	18552
1039	20079	18534
1040	20099	18516
1041	20118	18496
1042	20138	18477
1043	20158	18459
1044	20175	18437
1045	20195	18419
1046	20212	18398
1047	20234	18380
1048	20255	18362
1049	20270	18339
1050	20286	18317
1051	20306	18299
1052	20327	18281
1053	20347	18262
1054	20366	18243
1055	20387	18225
1056	20406	18205
1057	20428	18189
1058	20449	18170
1059	20468	18151
1060	20489	18133
1061	20509	18114
1062	20530	18096
1063	20546	18074
1064	20564	18054
1065	20583	18035
1066	20604	18016
1067	20625	17998
1068	20645	17980
1069	20665	17961
1070	20685	17942
1071	20704	17923
1072	20724	17904
1073	20744	17885
1074	20761	17864
1075	20780	17844
1076	20800	17826
1077	20819	17807
1078	20839	17787
1079	20859	17768
1080	20878	17749
1081	20898	17730
1082	20917	17711
1083	20936	17691
1084	20956	17673
1085	20976	17654
1086	20997	17635
1087	21015	17616
1088	21033	17595
1089	21049	17573
1090	21064	17550
1091	21083	17530
1092	21102	17511
1093	21122	17492
1094	21142	17473
1095	21161	17454
1096	21181	17436
1097	21199	17415
1098	21219	17396
1099	21238	17376
1100	21257	17357
1101	21277	17338
1102	21297	17319
1103	21317	17301
1104	21337	17282
1105	21355	17262
1106	21375	17243
1107	21398	17226
1108	21414	17204
1109	21430	17182
1110	21447	17161
1111	21467	17143
1112	21487	17124
1113	21506	17105
1114	21527	17086
1115	21548	17069
1116	21568	17050
1117	21588	17031
1118	21610	17013
1119	21631	16995
1120	21650	16976
1121	21669	16957
1122	21689	16938
1123	21707	16918
1124	21728	16899
1125	21743	16877
1126	21758	16854
1127	21777	16835
1128	21797	16815
1129	21819	16798
1130	21835	16777
1131	21854	16758
1132	21875	16740
1133	21896	16721
1134	21911	16699
1135	21930	16679
1136	21949	16660
1137	21968	16640
1138	21987	16621
1139	22009	16603
1140	22024	16581
1141	22042	16561
1142	22063	16542
1143	22082	16523
1144	22102	16504
1145	22122	16485
1146	22141	16466
1147	22161	16447
1148	22182	16429
1149	22201	16409
1150	22221	16390
1151	22242	16372
1152	22261	16353
1153	22281	16334
1154	22301	16315
1155	22320	16296
1156	22340	16277
1157	22359	16258
1158	22374	16235
1159	22394	16217
1160	22412	16196
1161	22431	16176
1162	22450	16157
1163	22468	16137
1164	22488	16118
1165	22508	16099
1166	22529	16081
1167	22548	16061
1168	22568	16042
1169	22589	16024
1170	22609	16006
1171	22628	15986
1172	22648	15967
1173	22670	15950
1174	22690	15931
1175	22710	15912
1176	22725	15890
1177	22744	15871
1178	22763	15851
1179	22783	15832
1180	22801	15812
1181	22816	15789
1182	22836	15771
1183	22856	15752
1184	22876	15733
1185	22896	15714
1186	22916	15695
1187	22934	15676
1188	22954	15656
1189	22973	15637
1190	22995	15619
1191	23012	15598
1192	23029	15577
1193	23046	15557
1194	23068	15539
1195	23089	15521
1196	23109	15502
1197	23128	15483
1198	23144	15461
1199	23164	15442
1200	23185	15424
1201	23205	15405
1202	23223	15385
1203	23241	15365
1204	23256	15343
1205	23278	15325
1206	23298	15307
1207	23319	15289
1208	23338	15269
1209	23360	15251
1210	23381	15233
1211	23404	15216
1212	23426	15199
1213	23446	15180
1214	23465	15160
1215	23488	15144
1216	23508	15125
1217	23528	15106
1218	23548	15087
1219	23568	15068
1220	23587	15048
1221	23606	15029
1222	23626	15010
